YORF	NAME	GWEIGHT	1-1-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	1-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	1-4-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	1-5-cCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-2-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-4-aCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-5-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-6-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	3-1-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	3-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	3-4-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	3-5-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	4-1-cCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	4-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	4-4-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-1-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-2-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-4-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-5-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	6-1-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	6-2-bCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	6-3-cCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain
YHR189W	YHR189W	1	-0.0018	0.0738	-0.0599	0.0771	0.0691	-0.112	-0.1669	0.0387	0.079	0.0173	0.0305	-0.0622	-0.0455	-0.1189	0.0369	0.3774	-0.1878	0.0702	-0.1784	-0.0727	0.1717	0.0955	-0.0519	0.343
YHR190W	YHR190W	1	-0.1757	-0.2886	-0.0477	-0.8668	-0.9206	-0.5275	-1.0353	-0.1295	-0.7485	-0.198	-0.6267	-1.1429	-0.3875	-1.0554	-0.2963	-0.162	-0.5364	-0.4393	-0.419	0.0363	-0.8716	-0.6465	-0.3239	-0.1008
YHR201C	YHR201C	1	0.0346	-0.2739	-0.1844	-0.2238	-0.2778	-0.3059	0.1145	-0.1228	-0.2133	-0.2254	-0.2012	-0.2648	-0.1546	0.0793	-0.1711	-0.1514	-0.1625	-0.1445	-0.3847	-0.2274	-0.3085	-0.3321	-0.1458	-0.1928
YIL167W	YIL167W	1	-0.3001	-0.1765	-0.1237	-0.1858	-0.1852	-0.3736	-0.475	-0.3293	-0.2435	-0.1134	-0.3131	-0.3336	-0.2427	-0.2874	-0.1883	-0.3457	-0.2479	-0.3103	-0.6037	-0.3084	-0.3435	-0.3005	-0.2989	-0.2834
YHR016C	YHR016C	1	-0.1531	0.6126	0.5845	0.3388	0.1027	0.5072	-0.436	-0.2405	0.239	-0.2731	-0.0987	0.426	0.3416	-0.1337	0.8039	-0.2184	0.4145	0.3116	-0.3734	-0.0354	0.7133	-0.1157	-0.0555	0.4674
YLL056C	YLL056C	1	0.1034	0.3133	-0.0557	0.3038	0.2385	0.1736	0.3257	-0.0202	0.276	0.1721	0.1967	0.171	0.2439	-0.1294	0.1478	-0.0321	0.2707	0.4565	-0.0308	-0.0771	0.2272	0.2195	0.0147	0.1074
YDR095C	YDR095C	1	-0.2058	-0.3803	-0.6925	-0.4343	-0.292	-0.1775	-0.0445	-0.2192	-0.2269	-0.2259	-0.1458	-0.2739	-0.2538	-0.3783	-0.1583	0.0246	-0.0507	-0.4675	-0.3236	0.1645	-0.0335	0.0919	0.2255	0.0063
YKL127W	YKL127W	1	0.1277	0.248	0.2437	0.0934	0.2789	0.3513	0.1429	-0.1198	-0.2314	0.0535	0.0271	-0.1556	0.1818	0	0.126	0.3494	0.2798	0.0548	-0.6254	0.0492	-0.057	0.1018	0.2624	0.2106
YER159C	YER159C	1	-0.0578	-0.0191	-0.1581	-0.1296	-0.2418	-0.1547	-0.1273	-0.1149	-0.2516	-0.2477	-0.091	-0.0934	0.0012	0.4753	0.0379	-0.1827	-0.3579	-0.2183	-0.1497	-0.0926	-0.0942	-0.383	-0.176	0.0628
YML092C	YML092C	1	-0.2849	-0.4622	-0.1797	-0.2451	-0.0945	0.1171	-0.0325	-0.0155	-0.3866	-0.1685	-0.0418	0.3514	-0.1551	-0.2307	-0.0695	-0.5484	-0.2385	-0.258	-0.1735	-0.0906	-0.2104	-0.1824	-0.3542	-0.298
YOL138C	YOL138C	1	0.1159	0.0704	0.1541	0.3584	0.2325	0.2941	0.1431	0.1621	0.1711	0.1659	0.0894	0.1119	0.401	-0.2853	0.2414	0.3485	0.3994	0.5255	-0.0831	0.16	0.1185	0.1603	0.2969	1.065
YPL002C	YPL002C	1	0.1239	0.2202	0.3543	0.1483	-0.2322	-0.1632	0.1691	0.2442	-0.2474	0.3241	0.0739	-0.2395	-0.0132	0.3224	0.0255	-0.3691	0.3482	-0.0816	0.3699	0.3181	-0.1279	0.3314	0.2314	0.3807
YBR138C	YBR138C	1	-0.081	0.0547	0.3541	0.2947	-0.3156	0.0824	0.0067	0.2321	0.0123	0.0575	0.1456	0.27	0.1904	0.0116	0.226	0.4047	0.0365	-0.1304	0.0841	0.0526	-0.203	0	0.0363	-0.0319
YGL240W	YGL240W	1	-0.0056	-0.0148	0	-0.1431	0	0	-0.1994	-0.2882	-0.0162	-0.1395	-0.1326	-0.1826	0	-0.2422	0.0064	-0.1479	-0.0219	0.0231	0	-0.1193	0.1565	0.0326	0.0567	-0.0415
YCL002C	YCL002C	1	-0.22	-0.3968	-0.0512	-0.206	-0.1396	0.0096	-0.0948	-0.4193	-0.2956	-0.332	-0.2942	-0.4503	-0.0651	-0.0931	-0.2735	-0.6648	-0.0708	-0.0064	-0.2438	-0.0168	-0.1174	-0.1291	-0.2552	-0.3235
YFR017C	YFR017C	1	-0.889	-0.241	0.3594	0.3125	-0.4507	0.383	-0.8173	0.1327	0.4577	-0.1197	0.0328	0.212	0.0717	-0.2965	0.8998	-1.2557	0.2062	0.3057	-1.0582	-0.2438	0.2975	-0.1764	-0.155	0.486
YBR053C	YBR053C	1	0.1261	0.0419	0.7122	0.122	0.3206	0.4384	-0.0539	-0.1401	0.0163	-0.3106	-0.0065	0.23	0.3796	-0.1161	1.0574	-0.5014	0.5325	0.4182	-0.7357	0.1472	0.7176	-0.3589	-0.2409	0.1674
YGL150C	YGL150C	1	0.1251	-0.008	0	0.2541	-0.001	-0.0943	0.0202	0.1485	0.0287	0.204	0.0311	0.1203	0.102	0.1937	-0.0617	0.3458	0.1132	0.2308	-0.0253	0.1125	-0.1046	0.1116	0.14	0.0111
YGL058W	YGL058W	1	0.2588	0.1534	0.0397	0.1699	0.2485	0.2171	0.4143	0.0256	0.0436	0.0495	0.0798	-0.0799	0.1791	0.1417	0.0904	-0.0161	0.0296	0.0722	0.38	0.1467	-0.1124	0.2004	0.0899	-0.1223
YDR477W	YDR477W	1	-0.3704	-0.1897	-0.3202	0.0064	-0.3645	-0.3282	-0.3426	0.063	-0.0962	-0.1457	-0.0123	-0.0167	-0.3142	0.0232	0	0.1341	-0.2966	-0.2481	-0.2769	-0.2367	-0.3036	-0.2251	-0.2714	-0.2562
YOR192C	YOR192C	1	-0.6264	0.3601	-0.2736	0.1189	0.476	0.272	-0.152	-0.6333	0.4798	-0.2249	0.4145	0.3507	0.2253	0.9049	0.1898	0.1846	-0.5179	0.5152	-0.176	-0.5376	0.1083	0.425	0.3342	0.1005
YOR257W	YOR257W	1	0.1221	0.2489	0.0841	0.0962	0.0962	0.1476	0.0969	0.1059	-0.0287	0.2159	-0.0596	-0.1004	0.0367	0.6478	0.0502	0.0846	-0.0857	-0.15	-0.0525	-0.294	-0.0257	0.0663	-0.1376	0.2657
YLR438C-A	YLR438C-A	1	-0.5141	-0.4717	-0.1063	-0.5969	-0.2557	-0.4387	-0.3312	-0.0849	-0.4713	-0.7026	-0.5163	-0.2833	-0.6691	-0.9589	-0.5787	-0.8098	-0.5239	-0.7616	0.0209	-0.0398	-0.2164	-0.259	-0.3923	-0.1298
YMR208W	YMR208W	1	0.0862	-0.1935	0.1772	-0.4871	-0.2513	-0.1615	-0.1982	0.0945	-0.4375	0.1475	-0.3943	-0.9361	-0.4392	-0.4078	-0.5797	0.2497	-0.2112	-0.5215	-0.1251	0.2834	-0.151	-0.0056	0.0341	0.1872
YDL184C	YDL184C	1	-0.1365	-0.1962	-0.5406	-0.3472	-0.205	-0.3846	-0.4722	-0.6243	-0.4178	-0.2746	-0.3237	-0.6177	-0.5767	-0.2292	-0.8719	-1.2582	-0.5467	-0.41	-0.2178	-0.3347	-0.4682	-0.3198	0.0853	-0.5768
YPR082C	YPR082C	1	-0.1324	-0.0939	-0.4121	-0.0119	-0.1201	-0.3325	-0.1033	-0.2093	-0.2644	-0.3106	-0.0523	-0.0817	0.0264	-0.336	0.0805	-0.693	-0.2352	-0.0904	-0.484	-0.269	-0.182	-0.1427	-0.3368	-0.2408
YKR019C	YKR019C	1	0.1233	0.2102	-0.3288	-0.2997	0.0445	0.0226	0.029	0.1198	0.1658	0.057	0.1257	-0.2642	0.672	-0.473	-0.1471	0.6341	0.4327	0.2879	-0.0605	0.2865	0.1361	0.2826	0.1635	0.2354
YOR204W	YOR204W	1	-0.1395	-0.3557	-0.4317	-0.3547	-0.0859	-0.4473	-0.1659	0	-0.3082	-0.369	-0.2878	-0.1517	-0.2896	-0.0301	-0.4422	0.0353	-0.34	-0.1495	-0.092	0.0281	0.0051	-0.3627	-0.2728	-0.3355
YER184C	YER184C	1	0.2923	0.0112	0.2405	0.5507	0.0103	0.8333	0.1316	0.3661	0.3576	0.103	0.2693	0.4379	0.1319	0.741	0.2957	0.5294	0.2783	0.1941	0.5527	0.2656	0.0226	0	0.2518	0.166
YDR318W	YDR318W	1	-0.1315	-0.1415	-0.0081	-0.1797	-0.2171	-0.2167	-0.1271	-0.1037	-0.334	-0.2231	-0.3645	-0.0519	-0.2474	0.2301	-0.0491	-0.5213	-0.1044	-0.28	-0.2043	-0.3114	-0.2066	-0.2049	-0.2909	-0.0514
YDR267C	YDR267C	1	0.0153	-0.1542	-0.1219	-0.1765	-0.1236	-0.1377	0.1155	-0.0223	-0.2023	0.0865	-0.2005	-0.3765	-0.0486	-0.5751	-0.1397	0.0235	-0.1781	-0.1097	0.1207	0.0566	-0.2974	-0.1716	-0.0651	-0.1788
YGL145W	YGL145W	1	-0.1803	-0.1174	-0.1325	0.0995	0.1137	-0.1638	0.0861	0.1774	0.0411	0.1248	0.1225	0.2165	0.0101	0.1307	-0.009	0.1645	-0.0201	-0.0895	0.1174	0.1326	0.1563	-0.1189	1.3121	-0.2015
YIL166C	YIL166C	1	0.3397	-0.657	-0.1619	-0.5082	-0.4966	-0.0739	0.1981	-0.2239	-0.005	-0.3221	-0.513	-0.6668	0.0176	-1.3525	0.0053	-0.3078	0.0846	0.0715	-0.1423	0.0145	-0.0731	0.2541	-0.3092	-0.3489
YBL035C	YBL035C	1	0.1997	0.1706	-0.0356	0.1362	0.1608	-0.0808	0.1358	0.035	-0.1351	0.0547	-0.0432	0.002	-0.1775	0.119	-0.2476	0.8047	-0.0371	-0.1185	0.2814	0.1825	-0.2715	0.0463	0.2034	-0.143
YJR071W	YJR071W	1	0	-0.0357	0.7397	0	0.1889	0.0281	-0.2309	1.1456	1.0378	1.1892	1.0088	0.9967	0	-0.224	0.154	0.8258	0.5863	-0.3645	0	0	0.1383	0.3245	0.8105	0.4488
YHL025W	YHL025W	1	0.1388	-0.0735	0.0363	0.2143	0.0943	0.3152	0.1381	0.2204	-0.0111	0.0293	0.0948	0.0888	0.0702	0.4635	0.0909	-0.1811	0.2636	0.1155	0.1021	0.1099	0.1566	-0.003	-0.0186	0.3444
YLL001W	YLL001W	1	-0.4298	-0.3014	-0.1966	-0.0587	-0.6196	-0.646	-0.1641	0.1362	-0.2785	-0.23	-0.0916	0.1304	-0.1908	0.1797	-0.1935	-0.1492	-0.3123	-0.2862	-0.4064	-0.3624	-0.2436	-0.3229	-0.1776	-0.2987
YCL061C	YCL061C	1	0.1387	0.1242	0.0369	0.1907	0.3391	0.0037	0.1923	0.2192	0.1219	0.16	0.2052	0.1757	0.0988	0.2559	0.005	1.1288	0.1925	0.0797	0.2086	0.3351	0.1652	0.1315	0.3647	0.1325
YPL203W	YPL203W	1	-0.3862	0.1219	0.1722	0.4169	-0.3683	0.0371	-0.2995	-0.0887	0.1168	-0.0769	0.1382	0.3588	0.3498	-0.2399	0.2856	0.0346	0.3586	0.1115	-0.046	-0.2414	-0.0223	-0.0421	-0.1634	0.2431
YDL033C	YDL033C	1	-0.0904	-0.2911	0.0153	-0.0496	-0.2376	-0.1899	0.073	0.1982	-0.0154	0.2652	-0.0328	-0.0533	-0.2681	-0.2998	-0.3422	0.7716	-0.0896	0.0807	0.3576	0.1509	-0.499	0.3598	-0.0655	-0.1127
YJL129C	YJL129C	1	0.0482	0.2855	0.1045	0.2941	0.1655	0.0309	0.3417	0.8263	0.3226	0.2175	0.4623	0.3541	0.3006	0.0594	0.1084	0.7126	0.2098	0.4279	0.2162	0.2317	0.3238	0.4453	0.2839	0.0922
YLR046C	YLR046C	1	-0.1926	-0.24	-0.0244	-0.2883	-0.3427	-0.1232	-0.4716	-0.2134	-0.324	-0.4055	-0.1883	0.0276	-0.2727	-0.8756	-0.1555	-0.1054	-0.0258	-0.3293	-0.6405	-0.3576	-0.2913	-0.0121	-0.1405	-0.1091
YPR200C	YPR200C	1	-0.0208	1.1099	0.3952	0.4076	0.1596	0.4812	0.3403	0.1307	0.3154	0.335	0.5989	0.7246	0.1881	1.2726	0.2124	0.0964	0.0021	1.4503	0.3139	0.2871	0.0196	0.7689	0.3916	0.2785
YMR178W	YMR178W	1	0.1863	0.32	0.187	0.0443	0.4168	0.1973	0.098	-0.22	-0.1151	-0.1882	-0.099	-0.179	0.0624	-0.2169	0.1169	-2.6879	0.1585	0.1097	-0.3038	-0.0394	0.0753	-0.2175	-0.0816	0.0908
YGR181W	YGR181W	1	-0.5093	-0.5474	-0.29	-0.3818	-0.6385	-0.5593	-0.6238	-0.3944	-0.4466	-0.0089	-0.15	-0.1546	-0.4287	0.1061	0	-0.4893	-0.7598	0	-0.128	-0.4818	-0.6166	-0.4997	-0.6363	-0.6259
YDR181C	YDR181C	1	0.2893	0.2104	0.2121	0.2377	0.2433	0.0745	0.2335	0.276	0.0872	-0.0195	0.1372	0.2907	0.0818	-0.4121	-0.0185	0.3689	-0.0898	-0.0543	0	-0.0091	-0.028	-0.0076	-0.1731	-0.1494
YER018C	YER018C	1	-0.6605	-0.5631	0.0474	-0.291	-0.5462	-0.3042	-0.6523	-0.2783	-0.1906	-0.6185	-0.4235	-0.0508	-0.3581	-0.3137	-0.0677	-0.8314	-0.1447	-0.4508	-0.3236	0.0789	-0.0244	0.0424	-0.2585	0.3052
YKL039W	YKL039W	1	-0.1104	-0.1495	-0.2541	-0.2208	-0.1403	0.0053	-0.3502	0.169	-0.3089	-0.2854	0.1866	0.2889	-0.3022	-0.1416	-0.1375	-0.2774	-0.2741	-0.0536	-0.2138	-0.1448	-0.3722	-0.466	-0.1597	-0.1783
YOL139C	YOL139C	1	0.0712	-0.3666	-0.328	-0.5972	-0.3287	-0.4509	0.133	-0.3239	-0.5054	-0.1821	-0.585	-0.7476	-0.4008	-0.2904	-0.4956	-0.8599	-0.5081	-0.3488	-0.3883	-0.2548	-0.6794	-0.3717	-0.4497	-0.4941
YJR066W	YJR066W	1	-0.1858	-0.0414	0.05	-0.0275	0.0258	-0.1244	-0.2084	-0.153	0.1184	-0.1785	0.099	0.0156	0	-0.0102	-0.0677	0.1893	0.0562	0.1067	0.148	0.1036	0.3839	0.0352	0.1051	-0.0554
YGL251C	YGL251C	1	0.0492	0.106	-0.0638	0.2772	-0.1507	-0.1314	0.207	0.2383	0.3129	0.1065	0.1559	0.0703	0.1666	0.5968	0.093	0.1648	0.1437	0.1139	-0.5131	-0.066	0.0329	0.1959	0.0608	0.1264
YNL285W	YNL285W	1	0.2207	0.0181	0.1294	0.316	0.2958	0.1873	-0.2868	0.148	-0.1775	0.2051	-0.1786	-0.2384	-0.1568	-0.02	-0.0003	-0.308	-0.1075	-0.4408	-0.2056	0.0997	-0.1914	-0.1407	0	0.0929
YDR377W	YDR377W	1	-0.6302	-0.604	-0.5605	-0.218	0.4027	-0.855	-0.7508	-0.1129	-0.6647	-0.1439	-0.4429	-0.3412	-0.3948	0.156	0.0229	-1.7251	-0.3186	-0.5682	-0.3527	-0.3815	-0.0392	-0.556	-0.047	-0.8367
YLR335W	YLR335W	1	0.3669	0.2541	0.177	0.0185	0.1614	0.1582	0.4618	0.0435	-0.0323	0.0898	-0.0342	-0.0342	0.1883	-0.0213	0.1147	0.6577	0.1868	0.0523	0.3563	0.3977	0.1042	0.1257	0.3178	0.1119
YGR160W	YGR160W	1	0.4617	-0.0517	0.0132	-0.2598	0.2511	0.057	0.122	-0.3271	-0.0898	0.004	-0.2922	-0.2764	-0.293	-0.8419	-0.6757	-0.1024	-0.4721	-0.2417	0.0191	-0.0616	-0.3665	-0.0392	-0.236	-0.4832
YCL049C	YCL049C	1	0.1613	-0.0527	0.6018	0.1215	0.0624	0.5512	0.0846	0.2852	0.2323	0.1948	0.027	0.1	0.1927	1.1983	0.3119	-0.0962	0.2094	0.6027	0.3666	0.058	0.6078	0.5924	-0.3216	0.2858
YPL155C	YPL155C	1	0.1512	0.2812	0.1026	0.0893	-0.0235	0.3194	0.1077	0.1082	0.1257	0.194	0.1737	0.1702	0.2838	-0.0382	0.1671	0.5865	0.1281	0.136	0.1733	0.2738	0.1328	0.0521	0.3053	0.3091
YIL086C	YIL086C	1	-0.3128	0.3684	-0.0179	0.0872	0.1087	0.3081	-0.1812	0.0537	0.0872	-0.0624	0.0163	0.2156	-0.1113	-0.0926	-0.1319	-0.3623	-0.0694	0.4521	0.2483	-0.4258	0.3393	-0.3276	-0.0651	-0.0142
YOR207C	YOR207C	1	0.0069	-0.1045	-0.3818	-0.0571	-0.2319	-0.1954	0.0407	-0.2586	-0.2796	-0.0526	-0.2669	-0.2835	0	-0.5037	-0.4745	0.5779	0	-0.0492	0.2239	0.1803	-0.3836	0.0878	0.0719	-0.264
YOR205C	YOR205C	1	0.2261	-0.1658	-0.0684	0.0561	-0.0729	-0.1579	-0.0283	0.1624	0.0887	0.114	0.0733	0.2843	-0.2655	0.2176	-0.1475	0.3229	-0.1788	-0.2049	0.4089	0.074	-0.3364	0.0856	-0.078	-0.2996
YJR023C	YJR023C	1	0.0674	0.1976	0.0681	0.2805	0.0447	0.1499	-0.0804	0.345	0.0859	0.5102	0.4188	0.3966	0.1398	0.3006	-0.0824	0.8704	0.2882	-0.0064	0.2261	0.1097	-0.1309	0.1076	0.2314	0.1753
YJL134W	YJL134W	1	-0.1669	-0.3646	-0.3234	0.0463	-0.054	-0.1849	-0.2187	-0.0513	-0.1444	-0.1927	-0.0306	0	-0.1242	-1.067	-0.2539	0.2822	-0.0941	-0.2038	-0.1556	-0.0777	0.0912	0.0046	-0.099	-0.2126
YOR065W	YOR065W	1	-1.3006	-1.8634	-1.0291	-0.8465	-1.9062	-1.9559	-1.8241	-0.4595	-0.9968	-0.5816	-0.9301	-0.5585	-0.337	-0.1459	-0.8133	-0.6327	-0.1917	-1.3725	-0.3779	-0.5287	-1.1806	-0.7784	-1.1265	-0.8329
YDL094C	YDL094C	1	0	0	0	0	0	0	0.0287	-0.024	-0.0914	-0.0768	0.0274	0.1081	0	0	-0.0868	-0.9017	0	0	0	0	0	0	0	0
YGR030C	YGR030C	1	0.1577	-0.0644	-0.1271	-0.163	0.2308	-0.2186	-0.1231	-0.3568	-0.2995	-0.2068	-0.2357	0.1306	-0.3223	0.1726	-0.0118	-0.2197	-0.1669	-0.2378	0.1265	-0.2013	-0.1584	-0.3022	-0.1453	-0.1712
YJL070C	YJL070C	1	-0.2635	-0.0233	0.1649	0.1396	-0.2096	0.0918	-0.1954	0.0152	-0.0448	-0.3414	0.0033	0.2462	0.1987	-0.2542	0.3569	-0.0367	0.3159	0.1969	-0.0692	-0.1461	0.3695	-0.1818	0.0323	0.0711
YOR170W	YOR170W	1	-0.0818	-0.1568	0.0371	-0.3344	-0.2017	-0.2274	-0.4463	-0.0021	-0.2787	-0.1318	-0.1864	-0.1807	-0.3173	-0.5328	-0.2504	-0.3966	-1.1227	-0.409	-0.126	0	-0.2289	-0.2568	-0.4432	-0.3536
YGR261C	YGR261C	1	0.3541	0.1987	0.1343	0.149	0.3245	0.1998	0.2907	0.0376	0.0098	0.1326	0.1024	0.0291	0.1386	0.4867	0.151	0.3426	0.2447	0.2804	-0.0893	0.1684	-0.006	0.1268	0.1766	0.0582
YKL079W	YKL079W	1	0.0874	0.0731	0.0436	0.1083	0.1407	-0.1881	-0.8818	0.1664	0.1087	0.1138	-0.1236	-0.006	-0.2731	-0.091	-0.1904	-0.2946	-0.0378	-0.1625	0.0508	0.0526	0.03	-0.0502	-0.0692	-0.1628
YLR463C	YLR463C	1	0.1367	0.4494	0.1059	0.1042	0.2862	0.1279	1.059	-0.174	0.4685	0.1291	-0.1811	-0.0707	0	2.1432	0.6043	1.3391	0	0.0428	1.0557	0.3338	0	0.7656	0.1464	0.9898
YMR067C	YMR067C	1	-0.1718	-0.1653	-0.1269	-0.0448	-0.274	-0.0973	-0.0357	-0.0234	-0.1694	-0.1261	-0.0522	-0.0905	-0.086	0.292	-0.105	0.3951	-0.1982	-0.2036	0.3655	-0.1058	-0.0636	0.0021	-0.1834	-0.2649
YER129W	YER129W	1	0.0765	-0.0538	0.1262	0.1405	-0.3351	0.0165	0.207	0.1955	0.0687	0.0413	0.1321	0.0804	0.094	-0.0084	-0.1153	0.51	-0.0004	0.062	0.079	0.137	-0.0168	0.1015	0.0685	0.073
YBR064W	YBR064W	1	0.0571	0.1798	-0.1248	-0.1742	0.3998	0.0048	0.3859	-0.1293	-0.1021	-0.0624	-0.0969	0.0002	-0.1079	0.084	0.0299	-0.4809	-0.0613	0.1704	-0.1915	-0.0627	-0.034	0.0455	0.153	0.0814
YML009W-B	YML010W-A	1	-0.0105	0.1275	-0.1606	-0.0975	0.3016	-0.0183	-0.129	-0.0764	-0.0033	-0.1112	0.1075	-0.0015	-0.0821	0.2875	-0.0768	0.5416	0.3146	0.0705	-0.1752	0.1555	0.3899	0.0388	0.1926	0.1838
YKR064W	YKR064W	1	0.0672	-0.0216	-0.0241	0.1215	0.0674	-0.1744	-0.0623	0.1193	-0.0171	0.0659	0.0625	0.0272	-0.1728	-0.0027	-0.0773	0.1903	0.0485	0.0741	0.1202	0.1048	-0.0665	0.1026	0.0292	-0.0763
YLR443W	YLR443W	1	0.0801	-0.089	0.0124	0.0954	0.1504	0.3844	0.1336	0.0252	-0.1018	0.015	0.1207	0.049	0.0663	-0.3463	0.2205	0.4259	0.0097	0.1044	-0.0398	0.1129	0.1197	-0.0272	0.2485	0.148
YML001W	YML001W	1	0.1365	0.1689	0.061	-0.0707	0.1338	0.2464	0.1604	-0.2407	-0.1246	-0.2282	-0.1113	-0.0221	-0.0214	0.0322	0.1467	-0.6009	0.0833	-0.0458	0.0457	0.1775	0.2285	-0.12	0.0326	-0.0449
YFR023W	YFR023W	1	0	0.1587	0.4768	0.2599	0.5537	0.0479	0.2252	0.6685	0.6213	0.5135	0.4617	0.6848	-0.1346	0.0381	-0.0039	0.0819	0.3874	0.4989	0.0243	0.2355	0.2668	0.4591	0.3916	0.2848
YEL047C	YEL047C	1	-0.1708	0.5373	0.4739	0.069	0.8295	0.918	0.3509	0.0461	0.5887	-0.3279	0.1641	-0.2333	0.8756	-0.6229	0.7842	-0.3591	0.751	0.7679	-0.7272	0.5196	0.4433	-0.1273	0.7023	0.0954
YOR133W	YOR133W	1	-0.564	-0.8497	-0.7985	-0.6976	-0.4153	-0.7318	-0.3512	-0.9892	0	-0.6012	-0.8014	-0.8305	-0.4065	-0.5099	-0.7141	-0.3241	-0.4764	-0.3709	-0.2762	-0.1737	-0.4831	-0.4042	-0.3281	-0.541
YDR155C	YDR155C	1	-0.9953	-0.2973	-0.2986	-0.4792	0.0179	-0.2854	-0.6501	-0.8905	-0.3486	-0.6077	-0.4119	-0.3457	-0.134	-0.7254	-0.3091	-1.2258	-0.3254	-0.282	-1.0387	-0.5459	-0.0053	-0.6998	-0.4518	-0.4447
YNL279W	YNL279W	1	0.1709	-0.7821	0.4364	0.3603	0.7277	0.4763	0.4793	0.2687	0.6898	-0.2068	0.0039	0.0159	-0.0185	0.8714	0.7804	0.7358	0.0158	0.9871	-0.8881	0.5669	0.0936	-0.4015	0.8406	0.4444
YKL019W	YKL019W	1	-0.35	-0.3658	-0.2195	-0.2756	-0.1502	-0.1696	-0.2442	-0.3064	-0.2265	-0.402	-0.3072	-0.3463	-0.1767	0.0396	-0.0814	-0.6851	-0.1105	-0.1101	-0.1276	-0.0605	-0.1192	-0.0548	-0.4499	-0.1522
YLR219W	YLR219W	1	-0.6467	-0.2623	0.1226	-0.2248	-0.1771	-0.1458	-0.6229	-0.173	-0.1751	-0.2662	-0.2525	0.0059	-0.0698	-0.3583	-0.1178	-0.3128	-0.0465	-0.3011	-0.2405	-0.2036	-0.0111	-0.2707	-0.2119	-0.0693
YKL085W	YKL085W	1	-1.1041	-0.4656	-0.671	-0.2308	-1.1444	-1.0301	-0.7225	-0.3874	-0.4697	-0.5514	-0.2524	0.3704	-0.2486	-0.0487	0.3368	-1.2477	-0.5119	-0.3399	-0.6088	-0.726	-0.3576	-0.6309	-1.041	-0.6758
YOR235W	YOR235W	1	0.1392	0.2844	0	0	0.0639	0.1559	0.3854	0.5194	0.5034	0.2596	0.2549	0.6864	0	0.0181	0.1074	-0.199	0	0.2464	0	0	0	0	0.7395	0
YOR077W	YOR077W	1	0.2267	0.1871	0.1979	0.2049	0.2951	0.1735	0.1704	0.1898	0.1145	-0.0575	0.0255	0.4433	0.167	-0.4536	0.2978	0.7877	0.162	0.147	0.3565	0.2291	0.1447	0.2602	0.0789	0.2634
YGL171W	YGL171W	1	0.4551	0.0003	0.0692	0.1113	0.3403	-0.0988	0.6391	0.335	0.2864	0.3743	-0.0731	-0.1504	0.0681	-0.5263	-0.3001	1.2245	0.0655	-0.2605	0.634	0.2867	0.1235	0.1604	0.247	-0.3582
YOR200W	YOR200W	1	-0.1601	-0.2674	-0.273	-0.059	-0.3009	-0.1982	-0.5243	0.0691	-0.0436	-0.1803	-0.1232	0.206	-0.22	0.1836	-0.2869	-0.7206	-0.4863	-0.0126	0.1421	-0.1612	-0.3597	0.1467	-0.2469	-0.2675
YCR012W	YCR012W	1	-0.1021	0.0305	-0.0942	-0.2108	0.2057	-0.1417	0.0534	-0.4349	-0.1473	-0.405	-0.4333	-0.7402	-0.0304	-0.1847	-0.3519	-0.4229	0.2762	0.3069	-0.8233	-0.2453	-0.1173	-0.0682	-0.1017	-0.0368
