YORF,Common
YDR087C,RRP1
YDR086C,SSS1
YGR082W,TOM20
YBL089W,AVT5
YDR466W,PKH3
YIR012W,SQT1
YBR279W,PAF1
YGL215W,CLG1
YFL016C,MDJ1
YMR021C,MAC1
YOL082W,ATG19
YBL004W,UTP20
YBL001C,ECM15
YBR002C,RER2
YHR040W,BCD1
YKL089W,MIF2
YMR094W,CTF13
YPR007C,REC8
YOR095C,RKI1
YBR012W-B,YBR012W-B
YMR179W,SPT21
YJR159W,SOR1
YMR041C,ARA2
YDL240W,LRG1
YKL056C,TMA19
YKL142W,MRP8
YKL063C,YKL063C
YKL061W,BLI1
YKL057C,NUP120
YDR321W,ASP1
YKL055C,OAR1
YIL042C,PKP1
YKL052C,ASK1
YKL050C,YKL050C
YLR399C,BDF1
YAR071W,PHO11
YMR322C,SNO4
YGR070W,ROM1
YMR069W,NAT4
YGL059W,PKP2
YKL224C,PAU16
YKL222C,YKL222C
YKL170W,MRPL38
YKL156W,RPS27A
YKL134C,1-Oct
YKL135C,APL2
YKL132C,RMA1
YKL198C,PTK1
YKL161C,KDX1
YKL129C,MYO3
YKL081W,TEF4
YKL078W,DHR2
YKL067W,YNK1
YKL049C,CSE4
YKL029C,MAE1
YKL026C,GPX1
YKL196C,YKT6
YMR285C,NGL2
YKL073W,LHS1
YOR089C,VPS21
YKR014C,YPT52
YNL093W,YPT53
YKR054C,DYN1
YKR064W,OAF3
YKR072C,SIS2
YOR062C,YOR062C
YKR098C,UBP11
YLR332W,MID2
YKL220C,FRE2
YGL049C,TIF4632
YOL152W,FRE7
YKL219W,COS9
YKL208W,CBT1
YLR307W,CDA1
YKL206C,ADD66
YLL060C,GTT2
YOR161C,PNS1
YKL204W,EAP1
YLR308W,CDA2
YKL193C,SDS22
YKL173W,SNU114
YKL172W,EBP2
YKL162C,YKL162C
YKL155C,RSM22
YKL154W,SRP102
YGL258W-A,YGL258W-A
YLR380W,CSR1
YKL150W,MCR1
YKL146W,AVT3
YKL137W,CMC1
YDR161W,ACL4
YKL133C,RCI50
YKL130C,SHE2
YKL128C,PMU1
YKL090W,CUE2
YMR244C-A,COA6
YKL088W,CAB3
YKL086W,SRX1
YKL084W,HOT13
YKL082C,RRP14
YKL077W,PSG1
YKL075C,AAN1
YKL074C,MUD2
YKL072W,STB6
YKL070W,YKL070W
YKL069W,YKL069W
YKL047W,ANR2
YKL046C,DCW1
YKL044W,MMO1
YKL043W,PHD1
YKL042W,SPC42
YKL034W,TUL1
YKL033W,TTI1
YKL028W,TFA1
YKL027W,TCD2
YKL025C,PAN3
YKL023W,SKA1
YKL018W,SWD2
YKL006W,RPL14A
YKL005C,BYE1
YKL004W,AUR1
YKL002W,DID4
YOR069W,VPS5
YKR013W,PRY2
YKR015C,YKR015C
YKR016W,MIC60
YKR017C,HEL1
YKR018C,YKR018C
YKR019C,IRS4
YKR020W,VPS51
YKR027W,BCH2
YKR021W,ALY1
YKR022C,NTR2
YKR025W,RPC37
YKR028W,SAP190
YKR029C,SET3
YKR030W,GMH1
YKR031C,SPO14
YNR048W,YNR048W
YKR032W,YKR032W
YKR037C,SPC34
YKR038C,KAE1
YNR053C,NOG2
YKR041W,YKR041W
YKR042W,UTH1
YKR043C,SHB17
YNR054C,ESF2
YKR044W,UIP5
YKR045C,YKR045C
YKR046C,PLN1
YKR051W,HFL1
YKR058W,GLG1
YKR060W,UTP30
YBR291C,CTP1
YBR158W,AMN1
YKR062W,TFA2
YKR063C,LAS1
YKR065C,PAM17
YKR067W,GPT2
YNR059W,MNT4
YPL194W,DDC1
YNR060W,FRE4
YKR068C,BET3
YKR069W,MET1
YKR070W,YKR070W
YKR071C,DRE2
YDR350C,ATP22
YKR073C,YKR073C
YKR074W,AIM29
YKR075C,YKR075C
YKR077W,MSA2
YKR078W,VPS501
YKR079C,TRZ1
YDR247W,VHS1
YKR081C,RPF2
YDL043C,PRP11
YKR082W,NUP133
YBR295W,PCA1
YKR083C,DAD2
YKR088C,TVP38
YNR063W,PUL4
YKR089C,TGL4
YKR090W,PXL1
YKR096W,ESL2
YKR100C,SKG1
YKR102W,FLO10
YKR105C,VBA5
YKR106W,GEX2
YNR065C,YNR065C
YMR294W,JNM1
YGR185C,TYS1
YMR024W,MRPL3
YDR237W,MRPL7
YNL284C,MRPL10
YDL202W,MRPL11
YLR312W-A,MRPL15
YMR193W,MRPL24
YBR282W,MRPL27
YDR462W,MRPL28
YNL252C,MRPL17
YNL271C,BNI1
YBR268W,MRPL37
YPL173W,MRPL40
YDR441C,APT2
YJR040W,GEF1
YNR067C,DSE4
YNR033W,ABZ1
YCL026C-A,FRM2
YCR073W-A,SOL2
YCR087C-A,YCR087C-A
YGR174C,CBP4
YLR058C,SHM2
YGR147C,NAT2
YNR070W,PDR18
YMR054W,STV1
YDR178W,SDH4
YNR071C,YNR071C
YML080W,DUS1
YHR001W-A,QCR10
YBR286W,APE3
YDR251W,PAM1
YNL339C,YRF1-6
YLR337C,VRP1
YPL043W,NOP4
YHR047C,AAP1
YMR120C,ADE17
YNL334C,SNO2
YMR116C,ASC1
YLR109W,AHP1
YBL092W,RPL32
YBL068W,PRS4
YBL038W,MRPL16
YBL037W,APL3
YNL333W,SNZ2
YNL286W,CUS2
YBL033C,RIB1
YBR014C,GRX7
YBR015C,MNN2
YNL288W,CAF40
YBR028C,YPK3
YBR026C,ETR1
YNL281W,HCH1
YBR033W,EDS1
YBR034C,HMT1
YBR035C,PDX3
YNL282W,POP3
YPR003C,YPR003C
YBR039W,ATP3
YBR054W,YRO2
YBR056W,MRX18
YBR066C,NRG2
YBR063C,CNM1
YBR068C,BAP2
YBR069C,TAT1
YBR073W,RDH54
YBR104W,YMC2
YBR121C,GRS1
YBR125C,PTC4
YBR132C,AGP2
YNL279W,PRM1
YBR139W,ATG42
YDL073W,AHK1
YNL275W,BOR1
YNL274C,GOR1
YDL074C,BRE1
YBR145W,ADH5
YBR150C,TBS1
YBR149W,ARA1
YBR146W,MRPS9
YBR176W,ECM31
YDL112W,TRM3
YBR175W,SWD3
YBR008C,FLR1
YBR180W,DTR1
YBR186W,PCH2
YBR192W,RIM2
YBR182C,SMP1
YBR198C,TAF5
YBR205W,KTR3
YBR199W,KTR4
YDL132W,CDC53
YPL089C,RLM1
YPL219W,PCL8
YPL236C,ENV7
YBR222C,PCS60
YBR229C,ROT2
YBR204C,LDH1
YBR239C,ERT1
YBR240C,THI2
YBR241C,VVS1
YBR244W,GPX2
YPR081C,GRS2
YBR245C,ISW1
YLL013C,PUF3
YBR256C,RIB5
YBR264C,YPT10
YKR091W,SRL3
YBR274W,CHK1
YBR281C,DUG2
YBR284W,YBR284W
YBR288C,APM3
YBR301W,PAU24
YBR298C,MAL31
YHR108W,GGA2
YBR299W,MAL32
YBL107C,MIX23
YBL106C,SRO77
YBL104C,SEA4
YHR115C,DMA1
YML100W,TSL1
YBL101C,ECM21
YBL098W,BNA4
YBL097W,BRN1
YPL199C,YPL199C
YBL095W,MRX3
YBL091C,MAP2
YBL090W,MRP21
YBL086C,YBL086C
YBL082C,ALG3
YIL122W,POG1
YBL081W,YBL081W
YBL078C,ATG8
YNL321W,VNX1
YBL071C,YBL071C
YBL067C,UBP13
YBL049W,MOH1
YDL183C,MRX19
YBL044W,YBL044W
YBL043W,ECM13
YBL042C,FUI1
YBL036C,YBL036C
YDR328C,SKP1
YBL032W,HEK2
YBL031W,SHE1
YBL029W,YBL029W
YBL028C,YBL028C
YBL026W,LSM2
YGR003W,CUL3
YBL025W,RRN10
YBL024W,NCL1
YBL020W,RFT1
YBL019W,APN2
YBL018C,POP8
YBL006C,LDB7
YNL116W,DMA2
YBR004C,GPI18
YBR005W,RCR1
YBR007C,DSF2
YBR013C,YBR013C
YBR016W,YBR016W
YBR126C,TPS1
YBR022W,POA1
YBR025C,OLA1
YBR027C,YBR027C
YBR029C,CDS1
YPL046C,ELC1
YMR100W,MUB1
YBR030W,RKM3
YBR032W,YBR032W
YBR040W,FIG1
YBR041W,FAT1
YBR042C,CST26
YDR457W,TOM1
YBR043C,QDR3
YBR044C,TCM62
YBR045C,GIP1
YBR046C,ZTA1
YBR047W,FMP23
YLR368W,MDM30
YBR050C,REG2
YBR052C,RFS1
YBR053C,YBR053C
YBR057C,MUM2
YBR058C,UBP14
YDR358W,GGA1
YPR125W,YLH47
YBR061C,TRM7
YBR062C,YBR062C
YBR065C,ECM2
YBR070C,ALG14
YBR071W,YBR071W
YDL248W,COS7
YBR074W,PFF1
YBR075W,YBR075W
YBR076W,ECM8
YBR077C,SLM4
YBR078W,ECM33
YBR079C,RPG1
YBR086C,IST2
YBR087W,RFC5
YBR090C,YBR090C
YBR094W,PBY1
YOL027C,MDM38
YOL133W,HRT1
YOR080W,DIA2
YOR371C,GPB1
YBR095C,RXT2
YBR096W,YBR096W
YBR098W,MMS4
YPL006W,NCR1
YBR101C,FES1
YBR102C,EXO84
YBR103W,SIF2
YOL054W,PSH1
YDL046W,NPC2
YBR108W,AIM3
YDR255C,RMD5
YBR128C,ATG14
YBR130C,SHE3
YBR131W,CCZ1
YBR137W,YBR137W
YBR138C,YBR138C
YBR141C,BMT2
YBR147W,RTC2
YBR148W,YSW1
YBR151W,APD1
YBR152W,SPP381
YBR156C,SLI15
YBR157C,ICS2
YBR161W,CSH1
YOR086C,TCB1
YLR260W,LCB5
YLR068W,FYV7
YBR162C,TOS1
YBR165W,UBS1
YBR168W,PEX32
YML013W,UBX2
YBR173C,UMP1
YBR177C,EHT1
YBR179C,FZO1
YBR183W,YPC1
YBR184W,YBR184W
YBR185C,MBA1
YBR187W,GDT1
YBR188C,NTC20
YBR194W,AIM4
YBR197C,YBR197C
YBR201W,DER1
YBR203W,COS111
YBR207W,FTH1
YBR209W,YBR209W
YBR210W,ERV15
YBR211C,AME1
YPL150W,YPL150W
YBR214W,SDS24
YBR223C,TDP1
YBR225W,YBR225W
YBR228W,SLX1
YBR230C,OM14
YBR231C,SWC5
YBR235W,VHC1
YBR238C,YBR238C
YBR246W,RRT2
YBR247C,ENP1
YBR254C,TRS20
YBR255W,MTC4
YBR257W,POP4
YDR057W,YOS9
YBR258C,SHG1
YBR259W,YBR259W
YBR260C,RGD1
YBR261C,TAE1
YBR262C,MIC12
YBR265W,TSC10
YBR266C,SLM6
YBR267W,REI1
YBR270C,BIT2
YBR271W,EFM2
YBR272C,HSM3
YBR273C,UBX7
YBR280C,SAF1
YBR283C,SSH1
YBR285W,YBR285W
YBR287W,YBR287W
YBR290W,BSD2
YBR292C,YBR292C
YBR293W,VBA2
YBR294W,SUL1
YBR296C,PHO89
YBR162W-A,YSY6
YMR261C,TPS3
YMR263W,SAP30
YHR061C,GIC1
YMR262W,YMR262W
YPR041W,TIF5
YOR232W,MGE1
YER031C,YPT31
YHR207C,SET5
YIL139C,REV7
YNL053W,MSG5
YHR072W,ERG7
YMR139W,RIM11
YDR080W,VPS41
YNL160W,YGP1
YER099C,PRS2
YGL158W,RCK1
YLR248W,RCK2
YJL001W,PRE3
YMR217W,GUA1
YIL043C,CBR1
YNL290W,RFC3
YJR103W,URA8
YEL058W,PCM1
YLR223C,IFH1
YOR217W,RFC1
YLR342W,FKS1
YEL019C,MMS21
YOR033C,EXO1
YGL127C,SOH1
YER028C,MIG3
YLR079W,SIC1
YEL022W,GEA2
YFR025C,HIS2
YNL259C,ATX1
YIR011C,STS1
YER122C,GLO3
YPL243W,SRP68
YOL061W,PRS5
YPL210C,SRP72
YHL011C,PRS3
YHR033W,YHR033W
YHR082C,KSP1
YIL153W,RRD1
YHR102W,KIC1
YHR215W,PHO12
YHR039C,MSC7
YHR129C,ARP1
YHL035C,VMR1
YIR018W,YAP5
YMR127C,SAS2
YHR216W,IMD2
YHR201C,PPX1
YHR178W,STB5
YHL019C,APM2
YDR002W,YRB1
YHL015W,RPS20
YGR257C,MTM1
YHL003C,LAG1
YHR006W,STP2
YHR011W,DIA4
YHR019C,DED81
YHR020W,YHR020W
YHL012W,YHL012W
YOR159C,SME1
YHR046C,INM1
YHR021C,RPS27B
YHR091C,MSR1
YHR104W,GRE3
YHR112C,YHR112C
YNL257C,SIP3
YHR183W,GND1
YGL175C,SAE2
YJL184W,GON7
YHR168W,MTG2
YHL050C,YHL050C
YHL049C,YHL049C
YHL048W,COS8
YJL019W,MPS3
YJR031C,GEA1
YJR074W,MOG1
YHL047C,ARN2
YHL046C,PAU13
YHL044W,YHL044W
YHL043W,ECM34
YHL042W,YHL042W
YHL041W,YHL041W
YHL040C,ARN1
YHL039W,EFM1
YHL037C,YHL037C
YHR059W,FYV4
YDR228C,PCF11
YDR135C,YCF1
YHL031C,GOS1
YHL030W,ECM29
YHL029C,OCA5
YHL028W,WSC4
YHL026C,YHL026C
YHL024W,RIM4
YER087C-A,YER087C-A
YER087C-B,SBH1
YER019C-A,SBH2
YGR099W,TEL2
YGR249W,MGA1
YGL198W,YIP4
YGL161C,YIP5
YDR464W,SPP41
YAL002W,VPS8
YAL048C,GEM1
YHL023C,NPR3
YHL018W,MCO14
YHL014C,YLF2
YHL013C,OTU2
YHL010C,ETP1
YJL090C,DPB11
YGL096W,TOS8
YGL090W,LIF1
YGR163W,GTR2
YHL009C,YAP3
YER007W,PAC2
YHL008C,YHL008C
YHL006C,SHU1
YHL005C,YHL005C
YHL002W,HSE1
YHL001W,RPL14B
YOR259C,RPT4
YNR036C,MRPS12
YHR003C,TCD1
YHR004C,NEM1
YHR009C,TDA3
YNL081C,SWS2
YHR027C,RPN1
YHR012W,VPS29
YHR022C,YHR022C
YBR010W,HHT1
YNL031C,HHT2
YHR029C,YHI9
YJL081C,ARP4
YGL048C,RPT6
YMR182C,RGM1
YHR034C,PIH1
YHR035W,NEL1
YHR036W,BRL1
YHR038W,RRF1
YHR043C,DOG2
YPL128C,TBF1
YHR044C,DOG1
YHR045W,YHR045W
YHR048W,YHK8
YHR050W,SMF2
YHR054C,YHR054C
YHR056C,RSC30
YHR058C,MED6
YHR060W,VMA22
YHR062C,RPP1
YHR063C,PAN5
YML077W,BET5
YHR064C,SSZ1
YMR219W,ESC1
YDR246W,TRS23
YHR066W,SSF1
YHR067W,HTD2
YHR068W,DYS1
YHR069C,RRP4
YOR209C,NPT1
YDR181C,SAS4
YAR003W,SWD1
YHR070W,TRM5
YHR071W,PCL5
YHR074W,QNS1
YDR451C,YHP1
YDR407C,TRS120
YDR409W,SIZ1
YDR501W,PLM2
YHR075C,PPE1
YHR076W,PTC7
YHR077C,NMD2
YMR111C,EUC1
YHR081W,LRP1
YHR085W,IPI1
YHR087W,RTC3
YHR088W,RPF1
YML069W,POB3
YEL056W,HAT2
YER088C,DOT6
YDR223W,CRF1
YDR289C,RTT103
YHR090C,YNG2
YHR097C,PAL2
YHR098C,SFB3
YHR099W,TRA1
YHR100C,GEP4
YHR101C,BIG1
YHR103W,SBE22
YLR347C,KAP95
YHR105W,YPT35
YHR106W,TRR2
YLR453C,RIF2
YLR183C,TOS4
YLR425W,TUS1
YJL065C,DLS1
YMR301C,ATM1
YDR309C,GIC2
YDL077C,VAM6
YHR109W,CTM1
YHR110W,ERP5
YHR111W,UBA4
YIL105C,SLM1
YLR372W,ELO3
YNR007C,ATG3
YIL097W,FYV10
YIL091C,UTP25
YOL078W,AVO1
YHR113W,APE4
YHR114W,BZZ1
YHR116W,COX23
YLR015W,BRE2
YHR121W,LSM12
YHR122W,CIA2
YHR124W,NDT80
YHR125W,YHR125W
YHR130C,YHR130C
YHR131C,YHR131C
YHR133C,NSG1
YHR137W,ARO9
YDR006C,SOK1
YPL200W,CSM4
YHR138C,YHR138C
YHR140W,YHR140W
YOR198C,BFR1
YHR143W,DSE2
YHR146W,CRP1
YHR150W,PEX28
YHR151C,MTC6
YHR154W,RTT107
YHR155W,LAM1
YMR129W,POM152
YHR156C,LIN1
YHR158C,KEL1
YHR159W,TDA11
YHR160C,PEX18
YHR161C,YAP1801
YER071C,TDA2
YHR162W,MPC2
YPR032W,SRO7
YDL109C,YDL109C
YGL133W,ITC1
YGL037C,PNC1
YLR298C,YHC1
YOR156C,NFI1
YIR003W,AIM21
YHR170W,NMD3
YHR171W,ATG7
YGR130C,YGR130C
YGR131W,FHN1
YHR172W,SPC97
YHR173C,YHR173C
YHR175W,CTR2
YHR176W,FMO1
YOR025W,HST3
YDL139C,SCM3
YOL104C,NDJ1
YHR177W,ROF1
YDR191W,HST4
YHR180W,YHR180W
YGL222C,EDC1
YHR184W,SSP1
YHR185C,PFS1
YNL173C,MDG1
YHR186C,KOG1
YML052W,SUR7
YIL014W,MNT3
YNL126W,SPC98
YML121W,GTR1
YHR187W,IKI1
YHR188C,GPI16
YHR189W,PTH1
YHR191C,CTF8
YHR192W,LNP1
YKR095W-A,PCC1
YOR213C,SAS5
YIL013C,PDR11
YHR193C,EGD2
YHR194W,MDM31
YHR195W,NVJ1
YHR196W,UTP9
YHR197W,RIX1
YHR198C,AIM18
YHR199C,AIM46
YDR448W,ADA2
YLR288C,MEC3
YHR200W,RPN10
YHR202W,SMN1
YHR204W,MNL1
YDL125C,HNT1
YPL138C,SPP1
YHR208W,BAT1
YPR147C,YPR147C
YHR209W,CRG1
YHR210C,YHR210C
YHR211W,FLO5
YHR218W,YHR218W
YHR219W,YHR219W
YOL005C,RPB11
YDR469W,SDC1
YDL166C,FAP7
YOR037W,CYC2
YOR020C,HSP10
YML074C,FPR3
YMR260C,TIF11
YDL045C,FAD1
YLR055C,SPT8
YMR167W,MLH1
YLR018C,POM34
YNL003C,PET8
YNL004W,HRB1
YOL122C,SMF1
YIL140W,AXL2
YGL006W,PMC1
YOR039W,CKB2
YMR247C,RKR1
YDR443C,SSN2
YGL095C,VPS45
YMR031C,EIS1
YPR122W,AXL1
YDR076W,RAD55
YJL212C,OPT1
YDR073W,SNF11
YDR078C,SHU2
YDR079W,PET100
YLR414C,PUN1
YPL147W,PXA1
YDR083W,RRP8
YDR084C,TVP23
YDR089W,VTC5
YOL020W,TAT2
YOR340C,RPA43
YDL195W,SEC31
YOR266W,PNT1
YJL165C,HAL5
YNL270C,ALP1
YGR061C,ADE6
YDL092W,SRP14
YOR304W,ISW2
YJR084W,YJR084W
YML064C,TEM1
YDL198C,GGC1
YPR149W,NCE102
YFR031C,SMC2
YER129W,SAK1
YGR154C,GTO1
YGR232W,NAS6
YOR076C,SKI7
YPL001W,HAT1
YDR297W,SUR2
YPR036W,VMA13
YMR058W,FET3
YNL099C,OCA1
YDR208W,MSS4
YDR270W,CCC2
YPL190C,NAB3
YIR034C,LYS1
YNR050C,LYS9
YER096W,SHC1
YLR052W,IES3
YDR111C,ALT2
YIL009W,FAA3
YDR343C,HXT6
YLR089C,ALT1
YOR328W,PDR10
YDR335W,MSN5
YJL174W,KRE9
YNL169C,PSD1
YLL022C,HIF1
YGL220W,BOL2
YGR281W,YOR1
YDR264C,AKR1
YPL161C,BEM4
YIL046W,MET30
YGR173W,RBG2
YLR150W,STM1
YPL042C,SSN3
YOR179C,SYC1
YIL142W,CCT2
YJL014W,CCT3
YGR178C,PBP1
YDL143W,CCT4
YDR188W,CCT6
YNL128W,TEP1
YOR127W,RGA1
YLR265C,NEJ1
YER048C,CAJ1
YLR090W,XDJ1
YMR039C,SUB1
YNL056W,OCA2
YML129C,COX14
YMR008C,PLB1
YER001W,MNN1
YPL050C,MNN9
YDR142C,PEX7
YMR138W,CIN4
YGR020C,VMA7
YMR287C,DSS1
YML097C,VPS9
YDR489W,SLD5
YMR280C,CAT8
YJL191W,RPS14B
YOL111C,MDY2
YPR034W,ARP7
YER015W,FAA2
YPR038W,IRC16
YDR117C,TMA64
YGL130W,CEG1
YPL070W,MUK1
YJR016C,ILV3
YMR124W,EPO1
YER061C,CEM1
YJL207C,LAA1
YPL058C,PDR12
YML131W,YML131W
YJL206C,YJL206C
YJL199C,MBB1
YJL198W,PHO90
YJL196C,ELO1
YJL192C,SOP4
YDR183W,PLP1
YDR386W,MUS81
YML102W,CAC2
YML015C,TAF11
YAR020C,PAU7
YAR027W,UIP3
YAR028W,YAR028W
YAR029W,YAR029W
YAR031W,PRM9
YAR033W,MST28
YAR064W,YAR064W
YAR068W,YAR068W
YGR234W,YHB1
YMR118C,SHH3
YLL055W,YCT1
YML046W,PRP39
YFR023W,PES4
YFR030W,MET10
YAL007C,ERP2
YAR008W,SEN34
YAL062W,GDH3
YLR389C,STE23
YAL067C,SEO1
YAL064W,YAL064W
YAL063C,FLO9
YAL061W,BDH2
YAL060W,BDH1
YAL059W,ECM1
YAL056W,GPB2
YAL055W,PEX22
YAL053W,FLC2
YAL051W,OAF1
YLR328W,NMA1
YER141W,COX15
YAL049C,AIM2
YAL047C,SPC72
YAL044C,GCV3
YAL042W,ERV46
YAL037W,YAL037W
YAL028W,FRT2
YAL027W,SAW1
YLR292C,SEC72
YGR186W,TFG1
YOR206W,NOC2
YDR484W,VPS52
YEL062W,NPR2
YEL069C,HXT13
YIL165C,YIL165C
YER017C,AFG3
YMR210W,MGL2
YMR183C,SSO2
YGR156W,PTI1
YDL039C,PRM7
YDL038C,YDL038C
YLR025W,SNF7
YLR250W,SSP120
YDR536W,STL1
YGR162W,TIF4631
YDR385W,EFT2
YOR133W,EFT1
YJR019C,TES1
YEL006W,YEA6
YER043C,SAH1
YER047C,SAP1
YER169W,RPH1
YER136W,GDI1
YER130C,COM2
YER155C,BEM2
YKL071W,OSI1
YER184C,TOG1
YER123W,YCK3
YER087W,AIM10
YER098W,UBP9
YEL013W,VAC8
YER045C,ACA1
YEL076C,YEL076C
YEL075C,YEL075C
YEL073C,YEL073C
YEL072W,RMD6
YEL071W,DLD3
YEL068C,YEL068C
YEL067C,YEL067C
YEL065W,SIT1
YEL064C,AVT2
YEL059W,HHY1
YDR005C,MAF1
YEL057C,SDD1
YPR194C,OPT2
YEL055C,POL5
YEL031W,SPF1
YEL030W,ECM10
YEL029C,BUD16
YEL028W,YEL028W
YEL026W,SNU13
YEL025C,YEL025C
YNR024W,MPP6
YEL023C,YEL023C
YEL020C,PXP1
YEL018W,EAF5
YEL017W,GTT3
YEL016C,NPP2
YEL015W,EDC3
YEL014C,YEL014C
YEL008W,YEL008W
YEL007W,MIT1
YEL005C,VAB2
YEL004W,YEA4
YEL003W,GIM4
YEL001C,IRC22
YER002W,NOP16
YER004W,FMP52
YER005W,YND1
YDL085W,NDE2
YPL014W,CIP1
YNL189W,SRP1
YER006W,NUG1
YER010C,YER010C
YER016W,BIM1
YLL005C,SPO75
YER021W,RPN3
YER024W,YAT2
YER029C,SMB1
YER030W,CHZ1
YER032W,FIR1
YER033C,ZRG8
YER034W,YER034W
YER035W,EDC2
YPL091W,GLR1
YER038C,KRE29
YER036C,ARB1
YER037W,PHM8
YER041W,YEN1
YER042W,MXR1
YER046W,SPO73
YOL114C,PTH4
YER050C,RSM18
YER051W,JHD1
YER053C,PIC2
YER057C,HMF1
YPL092W,SSU1
YNL054W-A,YNL054W-A
YER059W,PCL6
YER060W,FCY21
YER063W,THO1
YER064C,VHR2
YER066W,RRT13
YER067W,RGI1
YLR174W,IDP2
YER072W,VTC1
YER075C,PTP3
YER076C,YER076C
YER077C,MRX1
YER078C,ICP55
YER079W,YER079W
YER080W,AIM9
YER081W,SER3
YER082C,UTP7
YER083C,GET2
YER084W,YER084W
YER085C,YER085C
YER092W,IES5
YER093C,TSC11
YER104W,RTT105
YER105C,NUP157
YDL055C,PSA1
YOL008W,COQ10
YER107C,GLE2
YNL142W,MEP2
YIL002C,INP51
YER112W,LSM4
YER113C,TMN3
YLR048W,RPS0B
YER118C,SHO1
YER119C,AVT6
YER121W,YER121W
YER124C,DSE1
YER126C,NSA2
YER127W,LCP5
YER128W,VFA1
YER134C,YER134C
YER135C,YER135C
YER137C,YER137C
YER139C,RTR1
YER140W,EMP65
YGR194C,XKS1
YLL051C,FRE6
YJL214W,HXT8
YER145C,FTR1
YNL318C,HXT14
YJL219W,HXT9
YER146W,LSM5
YER149C,PEA2
YDL179W,PCL9
YER150W,SPI1
YER156C,MYG1
YER157W,COG3
YER158C,YER158C
YER181C,YER181C
YER182W,FMP10
YER183C,FAU1
YER185W,PUG1
YER186C,YER186C
YER187W,YER187W
YER188W,YER188W
YER189W,YER189W
YER190W,YRF1-2
YMR291W,TDA1
YPR004C,AIM45
YER062C,GPP2
YOR287C,RRP36
YPR021C,AGC1
YNL209W,SSB2
YHR179W,OYE2
YOR251C,TUM1
YNL217W,PPN2
YNL214W,PEX17
YOR150W,MRPL23
YNL213C,RRG9
YNL212W,VID27
YPL002C,SNF8
YGR038C-A,YGR038C-A
YNL206C,RTT106
YOL102C,TPT1
YDR013W,PSF1
YJR069C,HAM1
YNL200C,NNR1
YNL196C,SLZ1
YNL106C,INP52
YOL084W,PHM7
YOR154W,SLP1
YNL195C,YNL195C
YNL194C,YNL194C
YJR158W,HXT16
YIL051C,MMF1
YIL050W,PCL7
YIL057C,RGI2
YMR038C,CCS1
YFL017W-A,SMX2
YMR132C,JLP2
YMR134W,ERG29
YMR135C,GID8
YMR136W,GAT2
YMR140W,SIP5
YMR141C,YMR141C
YMR144W,FDO1
YMR145C,NDE1
YMR146C,TIF34
YMR314W,PRE5
YBR166C,TYR1
YOL038W,PRE6
YMR313C,TGL3
YJL094C,KHA1
YJL093C,TOK1
YNL111C,CYB5
YDR252W,BTT1
YDR113C,PDS1
YIL030C,SSM4
YPL267W,ACM1
YGR268C,HUA1
YDL007W,RPT2
YJL053W,PEP8
YOL094C,RFC4
YNR021W,YNR021W
YOL060C,MAM3
YMR089C,YTA12
YNR004W,SWM2
YBL100W-B,YBL100W-B
YBL101W-B,YBL101W-B
YLR117C,CLF1
YNR008W,LRO1
YPR073C,LTP1
YJR068W,RFC2
YNR072W,HXT17
YNL040W,YNL040W
YGR161C-D,YGR161C-D
YPL059W,GRX5
YPL227C,ALG5
YOR067C,ALG8
YOR377W,ATF1
YJR062C,NTA1
YJR061W,MNN14
YOR087W,YVC1
YLR092W,SUL2
YGR009C,SEC9
YJL073W,JEM1
YJL072C,PSF2
YJL071W,ARG2
YDL245C,HXT15
YML130C,ERO1
YOL056W,GPM3
YDR458C,HEH2
YJL070C,YJL070C
YJL069C,UTP18
YJL068C,YJL068C
YJL066C,MPM1
YOL156W,HXT11
YJL062W,LAS21
YJL061W,NUP82
YLR039C,RIC1
YML034W,SRC1
YIL022W,TIM44
YOL040C,RPS15
YJR064W,CCT5
YIL138C,TPM2
YHR143W-A,RPC10
YOR006C,TSR3
YDR039C,ENA2
YIL107C,PFK26
YIL177C,YIL177C
YIL173W,VTH1
YIL171W,YIL171W
YIL170W,HXT12
YIL169C,CSS1
YOR233W,KIN4
YIL163C,YIL163C
YIL161W,YIL161W
YMR059W,SEN15
YIL158W,AIM20
YMR250W,GAD1
YIL157C,COA1
YIL156W,UBP7
YIL152W,YIL152W
YIL151C,ESL1
YIL149C,MLP2
YDR294C,DPL1
YIL146C,ATG32
YIL145C,PAN6
YIL137C,TMA108
YIL135C,VHS2
YBR111C,YSA1
YLR364W,GRX8
YIL134W,FLX1
YIL129C,TAO3
YIL128W,MET18
YIL127C,RRT14
YIL124W,AYR1
YIL123W,SIM1
YIL121W,QDR2
YIL120W,QDR1
YIL117C,PRM5
YLR154C,RNH203
YIL114C,POR2
YIL112W,HOS4
YIL110W,HPM1
YIL109C,SEC24
YIL108W,YIL108W
YIL104C,SHQ1
YIL103W,DPH1
YIL102C,YIL102C
YIL101C,XBP1
YIL098C,FMC1
YIL096C,BMT5
YIL094C,LYS12
YIL093C,RSM25
YIL092W,YIL092W
YIL090W,ICE2
YIL089W,YIL089W
YIL088C,AVT7
YKL001C,MET14
YDR373W,FRQ1
YIL087C,AIM19
YIL086C,YIL086C
YIL085C,KTR7
YIL084C,SDS3
YDL224C,WHI4
YIL083C,CAB2
